name,parent,value
AUD,origin,0.703014469
AUDC,origin,0.523099851
AUID,origin,0.175087046
AUMN,origin,0.470900055
AUPH,origin,0.437130871
AUR,origin,0.405436821
AURA,origin,0.907398897
AURCW,origin,0.112107623
AUROW,origin,0.619865113
AUS,origin,0.107036405
AUSF,origin,0.596451319
AUST,origin,0.628715527
AUTL,origin,0.498886591
AUUD,origin,1
AUUDW,origin,0.821018062
AUVI,origin,0.495420537
AUVIP,origin,0.195121951
AUY,origin,0.517722729
AVA,origin,0.360193973
AVAC,origin,0.001608148
AVAH,origin,0.653228068
AVAL,origin,0.329601611
AVAV,origin,0.322157047
AVB,origin,0.473335363
AVCO,origin,0.538984271
AVCT,origin,0.59619039
AVCTW,origin,0.876265492
AVD,origin,0.478412227
AVDE,origin,0.721925506
AVDL,origin,0.414778634
AVDV,origin,0.752239692
AVDX,origin,0.684086773
AVEM,origin,0.456038019
AVEO,origin,0.312886448
AVES,origin,0.260103167
AVGE,origin,0.989327265
AVGO,origin,0.359349972
AVGR,origin,0.449278837
AVHI,origin,0.008782716
AVID,origin,0.37605132
AVIE,origin,1
AVIG,origin,0.158546829
AVIR,origin,0.291597334
AVIV,origin,0.418312757
AVK,origin,0.427775978
AVLV,origin,0.973028214
AVMU,origin,0.740418118
AVNS,origin,0.535111773
AVNT,origin,0.304161338
AVNW,origin,0.365192472
AVO,origin,0.130861136
AVPT,origin,0.781693124
AVPTW,origin,0.995024876
AVRE,origin,0.604046129
AVRO,origin,0.494457439
AVSC,origin,0.950806332
AVSD,origin,0.504533092
AVSE,origin,0.881343467
AVSF,origin,0.902322045
AVSU,origin,0.896907216
AVT,origin,0.641800597
AVTE,origin,0.257723926
AVTR,origin,0.315731292
AVTX,origin,0.096946375
AVUS,origin,0.879323499
AVUV,origin,0.61745375
AVXL,origin,0.408274724
AVY,origin,0.688968034
AVYA,origin,0.516947851
AWAY,origin,0.508260531
AWF,origin,0.424675831
AWH,origin,0.459536255
AWI,origin,0.609797259
AWK,origin,0.525434288
AWP,origin,0.596900242
AWR,origin,0.847810351
AWRE,origin,0.22060207
AWX,origin,1
AWYX,origin,0.2
AX,origin,0.370735058
AXAC,origin,0.000712758
AXDX,origin,0.374346829
AXGN,origin,0.385065719
AXL,origin,0.48862611
AXLA,origin,0.408054777
AXNX,origin,0.306918998
AXON,origin,0.494430572
AXP,origin,0.228968348
AXR,origin,0.831372549
AXS,origin,0.69986151
AXSM,origin,0.44193461
AXSpE,origin,0.695831401
AXTA,origin,0.414651369
AXTI,origin,0.396331494
AY,origin,0.394756114
AYI,origin,0.575957728
AYLA,origin,0.655372198
AYRO,origin,0.348593064
AYTU,origin,0.411027624
AYX,origin,0.052285446
AZ,origin,0.466607572
AZEK,origin,0.483027504
AZN,origin,0.369436595
AZO,origin,0.385148085
AZPN,origin,0.396606338
AZRE,origin,0.663755545
AZTA,origin,0.583323668
AZTD,origin,1
AZUL,origin,0.403884071
AZYO,origin,0.895238095
AZZ,origin,0.614709111
B,origin,0.268986895
BA,origin,0.498225527
BAB,origin,0.243898439
BABA,origin,0.532590116
BAC,origin,0.434178874
BACK,origin,0.079737679
BACpB,origin,0.644991507
BACpE,origin,0.7815782
BACpK,origin,0.372889639
BACpL,origin,0.221625252
BACpM,origin,0.469686636
BACpN,origin,0.205531348
BACpO,origin,0.552181923
BACpP,origin,0.417536628
BACpQ,origin,0.380995432
BACpS,origin,0.490168246
BAD,origin,0.831404959
BAFN,origin,0.963483146
BAH,origin,0.459056502
BAK,origin,0.735807422
BAL,origin,0.476417594
BALL,origin,0.618104183
BALT,origin,0.758576467
BALY,origin,0.325078886
BAM,origin,0.256656063
BAMH,origin,0.34234401
BAMI,origin,0.333622484
BAMR,origin,0.536006547
BANC,origin,0.325016098
BAND,origin,0.475566023
BANF,origin,0.340722163
BANR,origin,0.385479461
BANX,origin,0.232858837
BAOS,origin,0.127697842
BAP,origin,0.575171746
BAPR,origin,0.608880995
BAR,origin,0.198335031
BARK,origin,0.74704042
BASE,origin,0.565872999
BATL,origin,0.730769231
BATRA,origin,0.349014877
BATRK,origin,0.314417962
BATT,origin,0.297015089
BAUG,origin,0.054132431
BAX,origin,0.309988745
BB,origin,0.472491641
BBAI,origin,0.5466105
BBAI/WS,origin,1
BBAR,origin,0.569986334
BBAX,origin,0.757196289
BBBY,origin,0.394386406
BBC,origin,0.50501002
BBCA,origin,0.217387931
BBCP,origin,0.030969267
BBD,origin,0.568520221
BBDC,origin,0.186514802
BBDO,origin,0.36141778
BBEU,origin,0.224458764
BBGI,origin,0.220717671
BBH,origin,0.629959514
BBIG,origin,0.576702728
BBIN,origin,0.490606125
BBIO,origin,0.361245905
BBJP,origin,0.294987416
BBLG,origin,0.341821364
BBLN,origin,0.664797948
BBMC,origin,0.417249417
BBN,origin,0.496065233
BBRE,origin,0.394717262
BBSA,origin,0.054869261
BBSC,origin,0.510204082
BBSI,origin,0.413883664
BBU,origin,0.157994324
BBUC,origin,0.129032258
BBUS,origin,0.43453049
BBVA,origin,0.250209085
BBW,origin,0.313610488
BBWI,origin,0.442457543
BBY,origin,0.611014191
BC,origin,0.282811935
BCAB,origin,0.520113528
BCAN,origin,0.443049812
BCAT,origin,0.297782003
BCBP,origin,0.141572209
BCC,origin,0.498081031
BCD,origin,0.242909715
BCDA,origin,0.397959184
BCDF,origin,0.800399202
BCE,origin,0.460957659
BCEL,origin,0.516980132
BCH,origin,0.729764819
BCI,origin,0.602359955
BCIM,origin,0.498577525
BCLI,origin,0.441955084
BCM,origin,0.521402721
BCML,origin,0.611481976
BCO,origin,0.704667914
BCOR,origin,0.532257512
BCOV,origin,0.409403654
BCOW,origin,0.267634855
BCpA,origin,0.080859128
BCpB,origin,0.715617716
BCpC,origin,0.501215773
BCPC,origin,0.767205543
BCRX,origin,0.247458913
BCS,origin,0.449465595
BCSA,origin,0.333333333
BCSAU,origin,0.000998004
BCSAW,origin,1
BCSF,origin,0.392887442
BCTX,origin,0.522762329
BCV,origin,0.310617718
BCVpA,origin,0.335526316
BCX,origin,0.584944261
BCYC,origin,0.466420664
BDC,origin,0.588233448
BDCX,origin,0.617033774
BDCZ,origin,0.6
BDEC,origin,0.990045789
BDJ,origin,0.306388248
BDL,origin,0.555035129
BDN,origin,0.325666942
BDRY,origin,0.27172556
BDSX,origin,0.794273301
BDTX,origin,0.464783035
BDX,origin,0.309576001
BDXB,origin,0.012505273
BE,origin,0.599480137
BEAM,origin,0.662312448
BEAT,origin,0.645718866
BEATW,origin,1
BECN,origin,0.67597725
BEDU,origin,0.647465438
BEDZ,origin,0.092467298
BEEM,origin,0.599636373
BEEMW,origin,0.812030075
BEKE,origin,0.579203984
BELFA,origin,0.507879656
BELFB,origin,0.259137503
BEN,origin,0.669918863
BEP,origin,0.364507516
BEPC,origin,0.560028089
BEPH,origin,0.455003729
BEPI,origin,0.864376666
BEPpA,origin,0.898375389
BERY,origin,0.454043613
BERZ,origin,0.427216184
BEST,origin,0.046826581
BETZ,origin,0.283689392
BF/A,origin,0.551285841
BFAC,origin,0.119318182
BFAM,origin,0.643376564
BF/B,origin,0.469781836
BFC,origin,0.806038426
BFEB,origin,0.092674936
BFH,origin,0.720695104
BFI,origin,0.58298857
BFIIW,origin,0.113364254
BFIN,origin,0.009719761
BFIX,origin,0.970815586
BFK,origin,0.459577664
BFLY,origin,0.656889347
BFLY/WS,origin,0.495609841
BFOR,origin,0.624223602
BFRI,origin,0.250669161
BFS,origin,0.580445196
BFSpD,origin,0.000666223
